match_no,group,team_a,team_b,team_a_rank,team_a_points,team_b_rank,team_b_points,host_adjustment_a_pts,host_adjustment_b_pts,expected_goals_a,expected_goals_b,expected_total_goals,prob_team_a_win_pct,prob_draw_pct,prob_team_b_win_pct,prob_over_2_5_goals_pct,prob_under_2_5_goals_pct,prob_both_teams_score_pct,prob_team_a_clean_sheet_pct,prob_team_b_clean_sheet_pct,most_likely_score,top_3_scores,predicted_result,methodology,fixtures_source,ranking_source
1,A,Mexico,South Africa,15,1684.13,60,1428.38,35,0,2.0,0.79,2.79,65.9,20.4,13.8,52.8,47.2,47.1,45.5,13.5,2-0,2-0 (12.3%); 1-0 (12.3%); 2-1 (9.7%),Mexico,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
27,E,Germany,Côte d'Ivoire,10,1731.3,34,1532.98,0,0,1.78,0.92,2.7,57.5,23.2,19.3,50.6,49.4,50.0,39.8,16.9,1-0,1-0 (12.0%); 1-1 (11.0%); 2-0 (10.6%),Germany,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
28,E,Ecuador,Curaçao,24,1596.48,83,1293.08,0,0,2.03,0.77,2.8,66.9,20.0,13.1,53.1,46.9,46.7,46.3,13.1,2-0,2-0 (12.5%); 1-0 (12.3%); 2-1 (9.6%),Ecuador,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
29,E,Curaçao,Côte d'Ivoire,83,1293.08,34,1532.98,0,0,0.86,1.88,2.74,16.6,21.9,61.5,51.6,48.4,48.8,15.2,42.4,0-1,0-1 (12.2%); 0-2 (11.4%); 1-1 (10.4%),Côte d'Ivoire,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
30,E,Ecuador,Germany,24,1596.48,10,1731.3,0,0,1.02,1.61,2.63,24.1,24.9,51.0,49.0,51.0,51.3,20.0,35.9,1-1,1-1 (11.8%); 0-1 (11.6%); 1-2 (9.5%),Germany,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
31,F,Netherlands,Japan,7,1757.87,18,1661.58,0,0,1.51,1.09,2.6,46.9,25.7,27.4,48.1,51.9,51.7,33.6,22.2,1-1,1-1 (12.2%); 1-0 (11.2%); 2-1 (9.2%),Netherlands,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
32,F,Sweden,Tunisia,38,1510.12,45,1479.09,0,0,1.33,1.2,2.53,39.8,26.7,33.5,46.4,53.6,51.4,30.1,26.4,1-1,1-1 (12.7%); 1-0 (10.6%); 0-1 (9.5%),Sweden,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
33,F,Netherlands,Sweden,7,1757.87,38,1510.12,0,0,1.9,0.85,2.75,62.2,21.7,16.1,51.8,48.2,48.6,42.9,14.9,1-0,1-0 (12.2%); 2-0 (11.6%); 1-1 (10.3%),Netherlands,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
34,F,Tunisia,Japan,45,1479.09,18,1661.58,0,0,0.95,1.74,2.68,20.4,23.6,56.0,50.2,49.8,50.4,17.6,38.8,0-1,0-1 (11.9%); 1-1 (11.2%); 0-2 (10.3%),Japan,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
35,F,Tunisia,Netherlands,45,1479.09,7,1757.87,0,0,0.8,1.98,2.78,14.4,20.7,64.9,52.5,47.5,47.5,13.9,44.8,0-1,0-1 (12.3%); 0-2 (12.1%); 1-1 (9.9%),Netherlands,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
36,F,Japan,Sweden,18,1661.58,38,1510.12,0,0,1.65,1.0,2.65,52.8,24.5,22.8,49.4,50.6,51.0,36.9,19.1,1-0,1-0 (11.7%); 1-1 (11.6%); 2-0 (9.7%),Japan,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
37,G,Belgium,Egypt,9,1739.54,28,1565.56,0,0,1.71,0.96,2.67,55.1,23.9,21.0,50.0,50.0,50.6,38.3,18.0,1-0,1-0 (11.8%); 1-1 (11.4%); 2-0 (10.1%),Belgium,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
38,G,IR Iran,New Zealand,21,1616.04,85,1276.67,0,0,2.11,0.72,2.84,69.6,18.9,11.5,54.0,46.0,45.3,48.5,12.1,2-0,2-0 (13.1%); 1-0 (12.4%); 2-1 (9.5%),IR Iran,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
39,G,Belgium,IR Iran,9,1739.54,21,1616.04,0,0,1.58,1.04,2.62,49.8,25.1,25.1,48.7,51.3,51.4,35.2,20.6,1-1,1-1 (12.0%); 1-0 (11.5%); 2-1 (9.4%),Belgium,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
40,G,New Zealand,Egypt,85,1276.67,28,1565.56,0,0,0.79,2.0,2.79,13.9,20.4,65.7,52.8,47.2,47.2,13.5,45.4,0-1,0-1 (12.3%); 0-2 (12.3%); 1-1 (9.7%),Egypt,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
41,G,New Zealand,Belgium,85,1276.67,9,1739.54,0,0,0.6,2.35,2.95,7.6,15.6,76.8,56.5,43.5,40.6,9.5,55.1,0-2,0-2 (14.5%); 0-1 (12.3%); 0-3 (11.4%),Belgium,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
42,G,Egypt,IR Iran,28,1565.56,21,1616.04,0,0,1.17,1.38,2.55,31.6,26.5,41.9,46.9,53.1,51.6,25.1,31.1,1-1,1-1 (12.6%); 0-1 (10.8%); 1-0 (9.1%),IR Iran,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
43,H,Spain,Cabo Verde,2,1876.4,68,1369.3,0,0,2.4,0.55,2.95,78.4,14.8,6.7,56.5,43.5,38.6,57.5,9.1,2-0,2-0 (15.0%); 1-0 (12.5%); 3-0 (12.0%),Spain,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
44,H,Saudi Arabia,Uruguay,61,1419.73,17,1673.07,0,0,0.84,1.91,2.75,15.8,21.5,62.7,51.9,48.1,48.4,14.7,43.2,0-1,0-1 (12.2%); 0-2 (11.7%); 1-1 (10.2%),Uruguay,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
45,H,Spain,Saudi Arabia,2,1876.4,61,1419.73,0,0,2.35,0.6,2.95,76.5,15.7,7.8,56.5,43.5,40.9,54.8,9.6,2-0,2-0 (14.4%); 1-0 (12.3%); 3-0 (11.3%),Spain,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
46,H,Uruguay,Cabo Verde,17,1673.07,68,1369.3,0,0,2.03,0.77,2.8,66.9,20.0,13.1,53.1,46.9,46.6,46.3,13.1,2-0,2-0 (12.5%); 1-0 (12.3%); 2-1 (9.6%),Uruguay,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
47,H,Saudi Arabia,Cabo Verde,61,1419.73,68,1369.3,0,0,1.38,1.17,2.55,41.9,26.5,31.6,46.9,53.1,51.6,31.1,25.1,1-1,1-1 (12.6%); 1-0 (10.8%); 0-1 (9.1%),Saudi Arabia,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
48,H,Uruguay,Spain,17,1673.07,2,1876.4,0,0,0.91,1.79,2.7,18.9,23.0,58.0,50.7,49.3,49.9,16.7,40.1,0-1,0-1 (12.0%); 1-1 (11.0%); 0-2 (10.7%),Spain,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
49,I,France,Senegal,1,1877.32,14,1686.41,0,0,1.76,0.93,2.69,56.8,23.4,19.8,50.4,49.6,50.2,39.3,17.2,1-0,1-0 (11.9%); 1-1 (11.1%); 2-0 (10.5%),France,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
50,I,Iraq,Norway,57,1447.78,31,1555.59,0,0,1.07,1.54,2.61,26.4,25.5,48.1,48.4,51.6,51.6,21.5,34.3,1-1,1-1 (12.1%); 0-1 (11.3%); 1-2 (9.3%),Norway,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
51,I,France,Iraq,1,1877.32,57,1447.78,0,0,2.3,0.63,2.93,75.2,16.3,8.5,56.1,43.9,42.0,53.4,10.0,2-0,2-0 (14.1%); 1-0 (12.3%); 3-0 (10.9%),France,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
52,I,Senegal,Norway,14,1686.41,31,1555.59,0,0,1.6,1.03,2.63,50.6,25.0,24.4,48.9,51.1,51.3,35.7,20.2,1-1,1-1 (11.9%); 1-0 (11.5%); 2-1 (9.5%),Senegal,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
